nama_klasifikasi_barang,kd_inventaris,nama_barang
ALAT LAINNYA,06.03.12,BOX PLASTIK ORANGE
ALAT LAINNYA,06.03.12,BOX PLASTIK ORANGE BESAR
ALAT LAINNYA,06.03.12,BOX PLASTIK ORANGE SEDANG
ALAT LAINNYA,06.03.12,BOX PROYEKTOR
ALAT LAINNYA,06.03.12,BOX SAMPEL MERAH
ALAT LAINNYA,06.03.12,Box Sampling
ALAT LAINNYA,06.03.12,BOX SUSUN (UNTUK MCU)
ALAT LAINNYA,06.03.12,BOX TISU
ALAT LAINNYA,06.03.12,BOX TRANSPARAN
ALAT LAINNYA,06.03.12,Bracket TV LED LG
ALAT LAINNYA,06.03.12,BRACKET TV STAND EVENT
ALAT LAINNYA,06.03.12,BREAD BIN - WADAH CANGKIR
ALAT LAINNYA,06.03.12,BREAST PUMP
ALAT LAINNYA,06.03.12,BRIKET TV
ALAT LAINNYA,06.03.12,BTL Cardiopoint Spiro
ALAT LAINNYA,06.03.12,BUKET BUNGA
ALAT LAINNYA,06.03.12,BUKET BUNGA ANGGREK BIRU
ALAT LAINNYA,06.03.12,BUKET BUNGA BULAT
ALAT LAINNYA,06.03.12,BUKET BUNGA MAGNOLIA BIRU
ALAT LAINNYA,06.03.12,BUKET BUNGA MERAH
ALAT LAINNYA,06.03.12,BUKET BUNGA ORANGE
ALAT LAINNYA,06.03.12,BUKET BUNGA PINK
ALAT LAINNYA,06.03.12,BUKET BUNGA TULIP
ALAT LAINNYA,06.03.12,BUKET BUNGA UNGU
ALAT LAINNYA,06.03.12,BUNGA HIAS
ALAT LAINNYA,06.03.12,Bunga Mawar Kecil
ALAT LAINNYA,06.03.12,Bunga Merah Vas Putih
ALAT LAINNYA,06.03.12,Bunga Vas Coklat
ALAT LAINNYA,06.03.12,Bunga Vas Tinggi
ALAT LAINNYA,06.03.12,BUNGA+VAS
ALAT LAINNYA,06.03.12,CANGKIR
ALAT LAINNYA,06.03.12,Cangkir (1)
ALAT LAINNYA,06.03.12,Cangkir (2)
ALAT LAINNYA,06.03.12,Cangkir (3)
ALAT LAINNYA,06.03.12,Cangkir (4)
ALAT LAINNYA,06.03.12,Cangkir (5)
ALAT LAINNYA,06.03.12,Cangkir (6)
ALAT LAINNYA,06.03.12,CANGKIR/1
ALAT LAINNYA,06.03.12,CANGKIR/3
ALAT LAINNYA,06.03.12,CANGKIR/4
ALAT LAINNYA,06.03.12,CANGKIR/5
ALAT LAINNYA,06.03.12,CANGKIR/6
ALAT LAINNYA,06.03.12,CCTV VTM/10.1 DVR 16CH
ALAT LAINNYA,06.03.12,CERMIN
ALAT LAINNYA,06.03.12,Cermin Dinding
ALAT LAINNYA,06.03.12,CHARGER ACCU
ALAT LAINNYA,06.03.12,Charger Battery AA
ALAT LAINNYA,06.03.12,Charger Station
ALAT LAINNYA,06.03.12,CHARGING STATION
ALAT LAINNYA,06.03.12,CIREK
ALAT LAINNYA,06.03.12,COLD FOGGING MACHINE (MAINTENANCE)
ALAT LAINNYA,06.03.12,Cone
ALAT LAINNYA,06.03.12,CONE KERUCUT RUBBER
ALAT LAINNYA,06.03.12,Container
ALAT LAINNYA,06.03.12,Container Biru
ALAT LAINNYA,06.03.12,Container Hijau
ALAT LAINNYA,06.03.12,CONTAINER KECIL
ALAT LAINNYA,06.03.12,CONTAINER PULPEN
ALAT LAINNYA,06.03.12,Container tutup orange 100 L
ALAT LAINNYA,06.03.12,Converter EEG
ALAT LAINNYA,06.03.12,Cool Box
ALAT LAINNYA,06.03.12,COOL BOX BESAR
ALAT LAINNYA,06.03.12,COOL BOX KECIL
ALAT LAINNYA,06.03.12,COOLING PAD
ALAT LAINNYA,06.03.12,CUP HOLDER TEMPAT GELAS PLASTIK
ALAT LAINNYA,06.03.12,CUP SAUCER 4 SET
ALAT LAINNYA,06.03.12,Cuting Kertas
ALAT LAINNYA,06.03.12,CUTLERY SET OF 2
ALAT LAINNYA,06.03.12,CUTLERY SET OF 2 PROM
ALAT LAINNYA,06.03.12,Cutter
ALAT LAINNYA,06.03.12,DECO TRAY
ALAT LAINNYA,06.03.12,DETECTOR ASAP
ALAT LAINNYA,06.03.12,Diffuser
ALAT LAINNYA,06.03.12,Diffuser Aromatik
ALAT LAINNYA,06.03.12,DIFFUSER KAYU COKLAT
ALAT LAINNYA,06.03.12,DIFFUSER UNGU KECIL
ALAT LAINNYA,06.03.12,Digital Clamp Meter
ALAT LAINNYA,06.03.12,DIRIGENT SOLAR
ALAT LAINNYA,06.03.12,DISINFEKTAN
ALAT LAINNYA,06.03.12,DISPENSEER ISOLASI 
ALAT LAINNYA,06.03.12,DISPENSER AIR
ALAT LAINNYA,06.03.12,DISPENSER ALKOHOL
ALAT LAINNYA,06.03.12,DISPENSER ALKOHOL DINDING
ALAT LAINNYA,06.03.12,Dispenser Automatic HS Ace
ALAT LAINNYA,06.03.12,Dispenser Automatic Viorex
ALAT LAINNYA,06.03.12,Dispenser Cup
ALAT LAINNYA,06.03.12,DISPENSER DINDING (ALKOHOL)
ALAT LAINNYA,06.03.12,DISPENSER HANDSINITIZER OTOMATIS
ALAT LAINNYA,06.03.12,DISPENSER ISOLASI
ALAT LAINNYA,06.03.12,Dispenser Pengharum Calmix
ALAT LAINNYA,06.03.12,DISPENSER PENGHARUM RUANGAN
ALAT LAINNYA,06.03.12,DISPENSER SABUN
ALAT LAINNYA,06.03.12,DISPENSER SABUN (BARAT)
ALAT LAINNYA,06.03.12,DISPENSER SABUN (DALAM RO)
ALAT LAINNYA,06.03.12,DISPENSER SABUN (TIMUR)
ALAT LAINNYA,06.03.12,DISPENSER SABUN VERIFIKASI (BARAT)
ALAT LAINNYA,06.03.12,DISPENSER SOAP
ALAT LAINNYA,06.03.12,DISPENSER SOAP CRYSTAL
ALAT LAINNYA,06.03.12,DISPENSER SOAP KRISBOW
ALAT LAINNYA,06.03.12,DISPENSER SOAP PLASTIK KRISTAL
ALAT LAINNYA,06.03.12,DISPENSER SOAP STEFANOL
ALAT LAINNYA,06.03.12,DISPENSER SOAP VIOREX
ALAT LAINNYA,06.03.12,Dispenser Solasi
ALAT LAINNYA,06.03.12,DISPENSER STENLIST
ALAT LAINNYA,06.03.12,DISPENSER TISSUE
ALAT LAINNYA,06.03.12,DISPENSER TISSUE DINDING
ALAT LAINNYA,06.03.12,DISPENSER TISSUE KRISBOW
ALAT LAINNYA,06.03.12,Dispenser tisu (bulat) Krisbow
ALAT LAINNYA,06.03.12,Dispenser tisu (kotak) Krisbow
ALAT LAINNYA,06.03.12,DISPENSER TISU BULAT
ALAT LAINNYA,06.03.12,DOCUMENT TRAY
ALAT LAINNYA,06.03.12,Dongkrak buaya 2 ton
ALAT LAINNYA,06.03.12,DOORFRAME STANDING
ALAT LAINNYA,06.03.12,DRAWING PAN (TIDAK COCOK)
ALAT LAINNYA,06.03.12,DRUM
ALAT LAINNYA,06.03.12,DRUM BESI MERAH
ALAT LAINNYA,06.03.12,DRUM SOLAR
ALAT LAINNYA,06.03.12,DUSHBIN
ALAT LAINNYA,06.03.12,DUST MOP 80 CM COTTON
ALAT LAINNYA,06.03.12,DVB
ALAT LAINNYA,06.03.12,DVD Writer
ALAT LAINNYA,06.03.12,E Tol
ALAT LAINNYA,06.03.12,EAR PLUG
ALAT LAINNYA,06.03.12,EDC BNI
ALAT LAINNYA,06.03.12,EMBER
ALAT LAINNYA,06.03.12,EMBER BESAR
ALAT LAINNYA,06.03.12,EMBER EEG
ALAT LAINNYA,06.03.12,Ember merah
