nama_klasifikasi_barang,kd_inventaris,nama_barang
ALAT LAINNYA,06.03.12,TEMPAT TEH/3
ALAT LAINNYA,06.03.12,Tempat Tidur Pasien
ALAT LAINNYA,06.03.12,TEMPAT TISSUE
ALAT LAINNYA,06.03.12,TEMPAT TISSUE HAND TWL
ALAT LAINNYA,06.03.12,TEMPAT TISSUE JUMBO ROLL
ALAT LAINNYA,06.03.12,TEMPAT TISSUE TOILET KECIL
ALAT LAINNYA,06.03.12,TEMPAT TISSUE+TEMPAT AIR+TEMPAT PERMEN+ NAMPAN
ALAT LAINNYA,06.03.12,TEMPAT TISU
ALAT LAINNYA,06.03.12,TEMPAT TISU (BARAT)
ALAT LAINNYA,06.03.12,TEMPAT TISU (BAWAH TANGGA SELATAN)
ALAT LAINNYA,06.03.12,TEMPAT TISU (BAWAH TANGGA UTARA))
ALAT LAINNYA,06.03.12,TEMPAT TISU (DALAM RO)
ALAT LAINNYA,06.03.12,TEMPAT TISU (LUAR RO)
ALAT LAINNYA,06.03.12,TEMPAT TISU (SAMPLING 1 BARAT)
ALAT LAINNYA,06.03.12,TEMPAT TISU (SAMPLING 1 TIMUR)
ALAT LAINNYA,06.03.12,TEMPAT TISU (TIMUR)
ALAT LAINNYA,06.03.12,TEMPAT TISU (TOILET SELATAN)
ALAT LAINNYA,06.03.12,TEMPAT TISU (TOILET UTARA)
ALAT LAINNYA,06.03.12,TEMPAT TISU (VERIFIKASI BARAT)
ALAT LAINNYA,06.03.12,TEMPAT TISU (VERIFIKASI TIMUR)
ALAT LAINNYA,06.03.12,TEMPAT TISU (VIP 2)
ALAT LAINNYA,06.03.12,Tempat Tisu Kecil
ALAT LAINNYA,06.03.12,tempat Tisue
ALAT LAINNYA,06.03.12,TEMPAT TISUE KASAR
ALAT LAINNYA,06.03.12,TEMPAT TISUE KRISBOW
ALAT LAINNYA,06.03.12,TEMPAT TOILET SEAT CLEANER
ALAT LAINNYA,06.03.12,TEMPAT URINE COKLAT
ALAT LAINNYA,06.03.12,Tempat wadah cuci tangan
ALAT LAINNYA,06.03.12,TEMPERATURE SUHU
ALAT LAINNYA,06.03.12,TEMPRATUR SUHU
ALAT LAINNYA,06.03.12,Tenda
ALAT LAINNYA,06.03.12,TENDA EVENT MARKETING
ALAT LAINNYA,06.03.12,TENDA FOLDING GAZEBO
ALAT LAINNYA,06.03.12,TENDA FOLDING GAZEBO 3X3 CM RED
ALAT LAINNYA,06.03.12,TENDA FOLDING TENT 3X3M
ALAT LAINNYA,06.03.12,Tenda Pramita (1)
ALAT LAINNYA,06.03.12,Tenda Pramita (2)
ALAT LAINNYA,06.03.12,TENDA SARNAVI PRAMITA
ALAT LAINNYA,06.03.12,TEPLON
ALAT LAINNYA,06.03.12,Terminal Bulat Merah
ALAT LAINNYA,06.03.12,Terminal Panjang
ALAT LAINNYA,06.03.12,Termohygro
ALAT LAINNYA,06.03.12,TERMOMETER SUHU RUANGAN
ALAT LAINNYA,06.03.12,Termos
ALAT LAINNYA,06.03.12,Thermometer Ruangan
ALAT LAINNYA,06.03.12,TIANG ANTRIAN
ALAT LAINNYA,06.03.12,Tiang Antrian Dengan Tali Merah
ALAT LAINNYA,06.03.12,TIANG INFORMASI
ALAT LAINNYA,06.03.12,TIANG INFUS
ALAT LAINNYA,06.03.12,Tiang sekat MCU (3 Ukuran)
ALAT LAINNYA,06.03.12,TIANG TV MOBILE CHART
ALAT LAINNYA,06.03.12,TIMBA EMBER
ALAT LAINNYA,06.03.12,TIMBA EMBER 83 L
ALAT LAINNYA,06.03.12,TIMBANGAN
ALAT LAINNYA,06.03.12,Timbangan Daging
ALAT LAINNYA,06.03.12,TIMBANGAN DIGITAL
ALAT LAINNYA,06.03.12,TIMBANGAN GANTUNG
ALAT LAINNYA,06.03.12,TIMBANGAN LIMBAH
ALAT LAINNYA,06.03.12,Timbangan Sampah
ALAT LAINNYA,06.03.12,Timer
ALAT LAINNYA,06.03.12,TIMER BIRU
ALAT LAINNYA,06.03.12,TIRAI JENDELA
ALAT LAINNYA,06.03.12,TIRAI SEKAT
ALAT LAINNYA,06.03.12,TIRAI TARIK
ALAT LAINNYA,06.03.12,TISSUE BUNDAR PLENTY
ALAT LAINNYA,06.03.12,TISSUE DINDING
ALAT LAINNYA,06.03.12,TISSUE DINDING BUNDAR
ALAT LAINNYA,06.03.12,TISSUE DINDING SEE - U
ALAT LAINNYA,06.03.12,TISSUE DINDING SEE U
ALAT LAINNYA,06.03.12,TISSUE DINDING SEE U BARU
ALAT LAINNYA,06.03.12,TISSUE DINDING SEE U LAMA
ALAT LAINNYA,06.03.12,TISSUE DINDING SEE-U
ALAT LAINNYA,06.03.12,Tong Biru
ALAT LAINNYA,06.03.12,TONG PUPUK BIRU
ALAT LAINNYA,06.03.12,TONGKAT GANTI LAMPU
ALAT LAINNYA,06.03.12,TONGKAT STOP
ALAT LAINNYA,06.03.12,TOPLES BESAR
ALAT LAINNYA,06.03.12,TOPLES KECIL
ALAT LAINNYA,06.03.12,TOPLES SEDANG
ALAT LAINNYA,06.03.12,TOPLES SNACK
ALAT LAINNYA,06.03.12,TOREN BIRU 300 LITER
ALAT LAINNYA,06.03.12,TOREN SILVER 1000 L
ALAT LAINNYA,06.03.12,TORNIQUET+HOLDER
ALAT LAINNYA,06.03.12,Traffic Cone
ALAT LAINNYA,06.03.12,Traffic cone 70 cm
ALAT LAINNYA,06.03.12,Travic Cone
ALAT LAINNYA,06.03.12,TRAY 50*30
ALAT LAINNYA,06.03.12,TRIPOD BANNER
ALAT LAINNYA,06.03.12,TRIPOD BANNER 1
ALAT LAINNYA,06.03.12,TRIPOD BANNER 11
ALAT LAINNYA,06.03.12,TRIPOD BANNER 12
ALAT LAINNYA,06.03.12,TRIPOD BANNER 2
ALAT LAINNYA,06.03.12,TRIPOD BANNER 3
ALAT LAINNYA,06.03.12,TRIPOD BANNER 4
ALAT LAINNYA,06.03.12,TRIPOD BANNER 5
ALAT LAINNYA,06.03.12,TRIPOD BANNER 6
ALAT LAINNYA,06.03.12,TRIPOD BANNER 7
ALAT LAINNYA,06.03.12,TRIPOD BANNER 8
ALAT LAINNYA,06.03.12,TRIPOD BANNER 9
ALAT LAINNYA,06.03.12,Tripod Speaker (1)
ALAT LAINNYA,06.03.12,Tripod Speaker (2)
ALAT LAINNYA,06.03.12,TROLI
ALAT LAINNYA,06.03.12,Troli Barang
ALAT LAINNYA,06.03.12,Troli Barang Krisbow 300 Kg
ALAT LAINNYA,06.03.12,TROLI BIRU
ALAT LAINNYA,06.03.12,TROLLEY BARANG
ALAT LAINNYA,06.03.12,Trolly
ALAT LAINNYA,06.03.12,TROLLY BESAR
ALAT LAINNYA,06.03.12,TROLLY HSG
ALAT LAINNYA,06.03.12,TROLLY KECIL
ALAT LAINNYA,06.03.12,TROLY
ALAT LAINNYA,06.03.12,TROLY BARANG
ALAT LAINNYA,06.03.12,Troly Emargency
ALAT LAINNYA,06.03.12,TUTUP TELINGA
ALAT LAINNYA,06.03.12,ULTRASONIC AROMA DIFFUSER
ALAT LAINNYA,06.03.12,ULTRASONIC AROMA DIFFUSER BAMBO
ALAT LAINNYA,06.03.12,URINEOIR
ALAT LAINNYA,06.03.12,URINEOIR TOTO
ALAT LAINNYA,06.03.12,URINOIR TOTO
ALAT LAINNYA,06.03.12,USB CHARGER HUMIDIFIER
ALAT LAINNYA,06.03.12,USB Hub
ALAT LAINNYA,06.03.12,USB HUB 4 PORT
ALAT LAINNYA,06.03.12,USG
ALAT LAINNYA,06.03.12,UV DESINFECTION LAMP 36 WATT
ALAT LAINNYA,06.03.12,VACUM SEALER
ALAT LAINNYA,06.03.12,VACUUM BAGS 30CM VS160S
ALAT LAINNYA,06.03.12,Vas + Bunga (4)
ALAT LAINNYA,06.03.12,VAS BALON
ALAT LAINNYA,06.03.12,Vas Bunga
ALAT LAINNYA,06.03.12,VAS BUNGA (UTARA)
ALAT LAINNYA,06.03.12,Vas Bunga Sakura
ALAT LAINNYA,06.03.12,VAS LAUR EMAS L
ALAT LAINNYA,06.03.12,VAS LAUR L
ALAT LAINNYA,06.03.12,VASE FLOWER
ALAT LAINNYA,06.03.12,Vase Flower Anggrek
ALAT LAINNYA,06.03.12,VISION B
ALAT LAINNYA,06.03.12,WADAH KUE PENUTUP
ALAT LAINNYA,06.03.12,WAJAN
ALAT LAINNYA,06.03.12,WALLPAPER
ALAT LAINNYA,06.03.12,WASHTAFEL
ALAT LAINNYA,06.03.12,WASKOM KAPAS SUBLIMAT
ALAT LAINNYA,06.03.12,WASKOM KECIL
ALAT LAINNYA,06.03.12,WASTAFEL
ALAT LAINNYA,06.03.12,WASTAFEL (MIKRO)
ALAT LAINNYA,06.03.12,WASTAFEL + KRAN
ALAT LAINNYA,06.03.12,Wastafel + laci
ALAT LAINNYA,06.03.12,WASTAFEL ITEM EUROPE ENCHANTING ITEMENC
ALAT LAINNYA,06.03.12,Wastafel Kabinet
ALAT LAINNYA,06.03.12,Wastafel Kabinet Silver
ALAT LAINNYA,06.03.12,Wastafel Krisbow
ALAT LAINNYA,06.03.12,Wastafel Lemari
ALAT LAINNYA,06.03.12,WASTAFEL LEMARI KRISBOW 
ALAT LAINNYA,06.03.12,Wastafel Marmer
ALAT LAINNYA,06.03.12,WASTAFEL PORTABLE
ALAT LAINNYA,06.03.12,Wastafel Toto
ALAT LAINNYA,06.03.12,WASTAFEL+KRAN
ALAT LAINNYA,06.03.12,WATAFEL + KRAN TOTO 
ALAT LAINNYA,06.03.12,WATER DISPENSER
ALAT LAINNYA,06.03.12,Webcam Hikvision
ALAT LAINNYA,06.03.12,Whiteboard
ALAT LAINNYA,06.03.12,Whiteboard (Kecil)
ALAT LAINNYA,06.03.12,Whiteboard (Kecil) 40X30 cm
